,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,"
            FP
          ",DD2,TD3,+/-,USG%,PIE,PPG
0,Deni Avdija,WAS,21,82,35,47,24.2,8.4,3.0,7.1,43.2,1.0,3.2,31.7,1.3,1.7,75.7,0.6,4.5,5.2,2.0,1.1,0.7,0.5,2.3,20.3,3,0,-0.8,15.8,8.6,8.4
1,Dwight Powell,DAL,30,82,52,30,21.9,8.7,3.3,4.9,67.1,0.2,0.5,35.1,2.0,2.6,78.3,2.1,2.8,4.9,1.2,0.8,0.5,0.5,2.7,18.4,2,0,0.9,13.6,10.2,8.7
2,Kevon Looney,GSW,26,82,53,29,21.1,6.0,2.5,4.4,57.1,0.0,0.0,0.0,0.9,1.5,60.0,2.5,4.7,7.3,2.0,0.8,0.6,0.6,2.6,20.6,5,0,2.0,12.0,10.2,6.0
3,Mikal Bridges,PHX,25,82,64,18,34.8,14.2,5.6,10.5,53.4,1.4,3.8,36.9,1.6,1.9,83.4,0.9,3.3,4.2,2.3,0.8,1.2,0.4,1.8,26.6,0,0,7.0,14.9,9.1,14.2
4,Saddiq Bey,DET,23,82,23,59,33.0,16.1,5.5,13.9,39.6,2.6,7.4,34.6,2.6,3.1,82.7,1.3,4.1,5.4,2.8,1.2,0.9,0.2,1.6,28.9,6,0,-6.1,20.9,10.0,16.1
5,Alec Burks,NYK,30,81,37,44,28.6,11.7,3.5,9.0,39.1,1.9,4.8,40.4,2.7,3.3,82.2,0.6,4.3,4.9,3.0,1.1,1.0,0.3,2.7,24.9,2,0,1.5,17.1,9.9,11.7
6,Buddy Hield,IND,29,81,26,55,30.8,15.6,5.5,13.6,40.6,3.2,8.8,36.6,1.4,1.6,87.4,0.8,3.5,4.4,2.8,1.9,0.9,0.3,2.3,26.8,1,0,-2.0,21.4,8.4,15.6
7,Patty Mills,BKN,33,81,44,37,29.0,11.4,4.0,9.8,40.8,2.8,7.0,40.0,0.6,0.7,81.4,0.2,1.7,1.9,2.3,0.9,0.6,0.2,1.4,18.7,0,0,1.4,16.0,6.6,11.4
8,Terance Mann,LAC,25,81,41,40,28.6,10.8,4.1,8.5,48.4,0.9,2.6,36.5,1.6,2.0,78.0,1.3,4.0,5.2,2.6,1.0,0.7,0.3,2.2,22.7,6,0,0.8,15.7,9.5,10.8
9,Chris Boucher,TOR,29,80,48,32,21.1,9.4,3.4,7.2,46.4,0.9,2.9,29.7,1.9,2.4,77.7,2.2,3.9,6.2,0.3,0.5,0.6,0.9,2.2,21.4,10,0,2.4,17.2,11.1,9.4
10,Dorian Finney-Smith,DAL,28,80,51,29,33.0,11.0,4.1,8.7,47.1,2.2,5.4,39.5,0.7,1.0,67.5,1.5,3.2,4.7,1.9,1.0,1.1,0.5,2.3,23.2,1,0,3.0,13.8,7.6,11.0
11,Evan Fournier,NYK,29,80,36,44,29.5,14.1,5.0,12.1,41.7,3.0,7.7,38.9,1.0,1.4,70.8,0.4,2.2,2.6,2.1,1.3,1.0,0.3,2.3,22.8,0,0,-1.2,20.1,7.4,14.1
12,Miles Bridges,CHA,24,80,41,39,35.5,20.2,7.5,15.2,49.1,1.9,5.8,33.1,3.3,4.2,80.2,1.1,5.9,7.0,3.8,1.9,0.9,0.8,2.4,37.6,15,0,1.8,22.4,12.0,20.2
13,Duncan Robinson,MIA,28,79,52,27,25.9,10.9,3.7,9.2,39.9,2.9,7.9,37.2,0.6,0.8,83.6,0.3,2.3,2.6,1.6,0.8,0.5,0.2,2.5,17.8,0,0,1.3,17.4,6.7,10.9
14,Franz Wagner,ORL,20,79,21,58,30.7,15.2,5.8,12.3,46.8,1.2,3.4,35.4,2.4,2.8,86.3,1.1,3.4,4.5,2.9,1.5,0.9,0.4,2.1,27.3,2,0,-3.1,20.8,10.2,15.2
15,Jalen Brunson,DAL,25,79,50,29,31.9,16.3,6.4,12.8,50.2,1.2,3.2,37.3,2.3,2.7,84.0,0.5,3.4,3.9,4.8,1.6,0.8,0.0,1.9,29.2,7,0,2.9,21.5,12.2,16.3
16,Jordan Clarkson,UTA,29,79,47,32,27.1,16.0,5.9,14.1,41.9,2.4,7.6,31.8,1.8,2.2,82.8,0.8,2.6,3.5,2.5,1.6,0.8,0.2,1.9,25.3,1,0,4.8,25.8,9.7,16.0
17,Kenyon Martin Jr.,HOU,21,79,20,59,21.0,8.8,3.5,6.6,53.3,0.8,2.1,35.7,1.0,1.6,63.4,1.0,2.7,3.8,1.3,0.8,0.4,0.5,1.4,17.3,2,0,-3.0,15.8,9.5,8.8
18,Malik Beasley,MIN,25,79,46,33,25.0,12.1,4.2,10.8,39.1,3.0,8.1,37.7,0.6,0.8,81.7,0.3,2.5,2.9,1.5,0.5,0.5,0.2,1.1,19.3,0,0,1.0,18.9,8.1,12.1
19,Herbert Jones,NOP,23,78,36,42,29.9,9.5,3.5,7.4,47.6,0.7,2.2,33.7,1.8,2.1,84.0,1.3,2.5,3.8,2.1,1.3,1.7,0.8,3.1,23.3,1,0,0.9,13.6,6.8,9.5
20,Immanuel Quickley,NYK,22,78,35,43,23.1,11.3,3.6,9.3,39.2,1.8,5.1,34.6,2.3,2.6,88.1,0.4,2.8,3.2,3.5,1.3,0.7,0.0,2.1,21.3,4,2,3.4,21.7,11.0,11.3
21,Jae'Sean Tate,HOU,26,78,19,59,26.4,11.8,4.7,9.3,49.8,0.8,2.6,31.2,1.7,2.4,70.7,1.7,3.7,5.4,2.8,1.8,0.9,0.5,3.7,25.1,7,0,-5.2,19.4,9.0,11.8
22,Jaren Jackson Jr.,MEM,22,78,53,25,27.3,16.3,5.5,13.3,41.5,1.6,5.1,31.9,3.6,4.4,82.3,1.5,4.3,5.8,1.1,1.7,0.9,2.3,3.5,32.9,7,0,4.6,24.8,9.6,16.3
23,Russell Westbrook,LAL,33,78,31,47,34.3,18.5,7.0,15.8,44.4,1.0,3.4,29.8,3.4,5.1,66.7,1.4,6.0,7.4,7.1,3.8,1.0,0.3,3.0,37.8,28,10,-2.7,26.4,11.3,18.5
24,Torrey Craig,PHX,31,78,36,42,20.5,6.6,2.6,5.7,45.4,1.0,3.0,32.9,0.5,0.7,75.0,1.1,2.9,4.0,1.2,0.9,0.6,0.5,1.9,15.4,3,0,-2.4,13.9,7.3,6.6
25,Ayo Dosunmu,CHI,22,77,42,35,27.4,8.8,3.6,6.9,52.0,0.9,2.4,37.6,0.7,1.0,67.9,0.4,2.4,2.8,3.3,1.4,0.8,0.4,2.4,19.2,4,0,-2.6,13.8,7.0,8.8
26,Corey Kispert,WAS,23,77,31,46,23.4,8.2,3.0,6.7,45.5,1.5,4.2,35.0,0.7,0.8,87.1,0.7,2.0,2.7,1.1,0.6,0.5,0.3,1.2,14.7,0,0,0.5,14.2,6.7,8.2
27,Delon Wright,ATL,30,77,42,35,18.9,4.4,1.6,3.5,45.4,0.6,1.5,37.9,0.7,0.8,85.7,0.6,2.2,2.9,2.4,0.6,1.2,0.2,0.7,15.3,0,0,0.8,10.1,9.7,4.4
28,Grant Williams,BOS,23,77,49,28,24.4,7.8,2.7,5.6,47.5,1.4,3.4,41.1,1.1,1.2,90.5,0.8,2.7,3.6,1.0,0.8,0.5,0.7,2.4,16.5,1,0,1.9,12.3,6.7,7.8
29,Harrison Barnes,SAC,29,77,27,50,33.6,16.4,5.1,10.8,46.9,1.8,4.7,39.4,4.4,5.4,82.6,1.1,4.5,5.6,2.4,1.5,0.7,0.2,1.2,27.9,5,0,-4.9,18.4,10.5,16.4
30,Kentavious Caldwell-Pope,WAS,29,77,34,43,30.2,13.2,4.7,10.8,43.5,2.1,5.3,39.0,1.8,2.0,89.0,0.5,2.9,3.4,1.9,1.3,1.1,0.3,1.8,23.1,2,0,-3.0,18.5,8.0,13.2
