,PLAYER,TEAM,AGE,GP,W,L,MIN,"
            OFFRTG
          ","
            DEFRTG
          ","
            NETRTG
          ",AST%,AST/TO,"
            AST Ratio
          ",OREB%,DREB%,REB%,"
            TO Ratio
          ",eFG%,TS%,USG%,PACE,PIE,POSS
1,Al-Farouq Aminu,NOH,21,66,21,45,22.4,98.6,98.9,-0.2,7.4,0.73,11.5,7.0,14.8,11.0,15.9,42.9,48.1,15.9,90.12,7.5,"2,759"
1,Andre Miller,DEN,36,66,38,28,27.4,109.1,104.4,4.6,36.5,2.49,35.5,3.2,9.2,6.4,14.2,45.5,51.0,19.8,94.66,10.8,"3,569"
1,Blake Griffin,LAC,23,66,40,26,36.2,111.0,103.6,7.4,15.6,1.40,13.3,9.3,21.7,15.5,9.5,55.0,55.7,26.2,90.09,15.6,"4,491"
1,Brandon Jennings,MIL,22,66,31,35,35.3,104.3,106.3,-2.0,26.4,2.50,21.2,2.0,7.7,4.7,8.5,47.6,51.4,25.3,95.99,11.8,"4,657"
1,Brandon Knight,DET,20,66,25,41,32.2,99.4,105.5,-6.2,20.2,1.47,20.0,1.6,9.1,5.2,13.7,48.3,51.1,21.5,91.10,7.8,"4,035"
1,Carlos Boozer,CHI,30,66,50,16,29.5,106.0,99.8,6.2,11.2,1.09,10.9,6.0,23.1,14.7,10.1,53.2,54.9,23.5,91.13,14.6,"3,720"
1,Chris Singleton,WAS,22,66,20,46,21.7,97.0,100.9,-3.9,5.1,1.29,11.7,3.0,13.4,8.1,9.1,44.2,46.2,11.5,94.57,5.1,"2,801"
1,Danny Green,SAS,25,66,50,16,23.1,106.7,98.9,7.8,8.6,1.28,12.8,3.6,11.2,7.4,10.0,54.9,57.9,17.0,95.41,9.6,"3,030"
1,David West,IND,31,66,42,24,29.2,106.0,100.4,5.6,12.3,1.51,13.6,6.2,16.0,11.2,9.0,48.9,53.1,20.7,92.69,12.5,"3,721"
1,DeAndre Jordan,LAC,23,66,40,26,27.2,108.5,102.9,5.5,1.4,0.23,3.5,11.6,19.5,15.5,15.4,63.2,62.6,11.9,90.32,10.0,"3,370"
1,Derrick Williams,MIN,21,66,26,40,21.5,100.6,103.9,-3.2,4.6,0.49,5.5,5.4,16.1,10.8,11.1,44.9,49.9,20.5,95.90,8.9,"2,825"
1,Ed Davis,TOR,23,66,23,43,23.2,94.3,102.7,-8.4,6.8,0.90,11.8,8.8,20.7,14.7,13.2,51.3,54.4,13.3,91.44,11.2,"2,929"
1,Enes Freedom,UTA,20,66,36,30,13.2,94.0,102.4,-8.4,1.6,0.15,2.3,11.8,20.2,15.9,15.7,49.6,53.9,16.4,94.25,11.0,"1,724"
1,Goran Dragic,HOU,26,66,34,32,26.5,105.7,103.7,2.0,31.6,2.24,29.5,3.1,6.9,5.0,13.2,51.8,56.7,21.6,92.70,11.5,"3,384"
1,Gordon Hayward,UTA,22,66,36,30,30.5,106.1,105.0,1.1,15.5,1.90,20.7,3.0,8.5,5.8,10.9,50.3,56.8,17.5,93.91,9.8,"3,945"
1,Greg Monroe,DET,22,66,25,41,31.5,102.3,107.8,-5.5,13.0,0.94,12.5,11.9,21.4,16.5,13.3,52.1,56.3,23.2,90.66,14.5,"3,938"
1,Greivis Vasquez,NOH,25,66,21,45,25.8,101.3,101.4,0.0,34.9,2.43,33.4,1.5,9.1,5.4,13.8,47.1,51.3,19.5,90.45,10.8,"3,211"
1,Jeff Teague,ATL,24,66,40,26,33.1,106.6,101.0,5.6,23.1,2.40,26.6,1.0,6.6,3.8,11.1,51.4,55.1,18.8,91.41,10.1,"4,156"
1,Jodie Meeks,PHI,24,66,35,31,24.9,100.8,95.3,5.5,4.9,1.86,9.3,1.0,8.6,4.8,5.0,51.3,55.1,14.7,92.88,7.4,"3,190"
1,John Wall,WAS,21,66,20,46,36.2,100.3,106.2,-6.0,36.2,2.08,28.6,1.9,10.7,6.2,13.8,42.4,50.2,24.3,94.97,12.8,"4,733"
1,Josh Smith,ATL,26,66,40,26,35.3,106.0,99.8,6.2,19.6,1.57,15.5,6.1,21.9,14.1,9.9,47.0,49.9,27.8,91.57,14.7,"4,441"
1,Kemba Walker,CHA,22,66,7,59,27.2,92.6,107.4,-14.8,30.7,2.43,22.8,1.6,11.9,6.5,9.4,41.1,46.4,24.9,92.58,11.4,"3,459"
