,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Season,MASCOT,URL
0,Utah Jazz,72,52,20,0.722,48.2,116.4,41.3,88.1,46.8,16.7,43.0,38.9,17.2,21.5,79.9,10.6,37.6,48.3,23.7,14.2,6.6,5.2,3.9,18.5,19.0,9.3,2021,jazz,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/jazz.png
1,Phoenix Suns,72,51,21,0.708,48.6,115.3,43.3,88.3,49.0,13.1,34.6,37.8,15.6,18.7,83.4,8.8,34.2,42.9,26.9,12.5,7.2,4.3,3.6,19.1,18.0,5.8,2021,suns,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/suns.png
2,Philadelphia 76ers,72,49,23,0.6809999999999999,48.4,113.6,41.4,86.9,47.6,11.3,30.1,37.4,19.6,25.5,76.7,10.0,35.0,45.1,23.7,14.4,9.1,6.2,4.7,20.2,21.0,5.6,2021,76ers,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/76ers.png
3,Brooklyn Nets,72,48,24,0.667,48.3,118.6,43.1,87.3,49.4,14.2,36.1,39.2,18.1,22.5,80.4,8.9,35.5,44.4,26.8,13.5,6.7,5.3,4.6,19.0,18.9,4.5,2021,nets,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/nets.png
4,Denver Nuggets,72,47,25,0.653,48.6,115.1,43.3,89.2,48.5,12.9,34.2,37.7,15.7,19.5,80.3,10.5,33.9,44.4,26.8,13.5,8.1,4.5,4.5,19.1,19.2,4.9,2021,nuggets,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/nuggets.png
5,LA Clippers,72,47,25,0.653,48.0,114.0,41.8,86.7,48.2,14.3,34.7,41.1,16.2,19.3,83.9,9.4,34.7,44.2,24.4,13.2,7.1,4.1,4.2,19.2,18.1,6.2,2021,clippers,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/clippers.png
6,Milwaukee Bucks,72,46,26,0.639,48.1,120.1,44.7,91.8,48.7,14.4,37.1,38.9,16.2,21.4,76.0,10.3,37.8,48.1,25.5,13.8,8.1,4.6,4.8,17.3,18.3,5.9,2021,bucks,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/bucks.png
7,Dallas Mavericks,72,42,30,0.583,48.1,112.4,41.1,87.3,47.0,13.8,38.1,36.2,16.5,21.2,77.8,9.1,34.2,43.3,22.9,12.1,6.3,4.3,3.7,19.4,20.1,2.3,2021,mavericks,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/mavericks.png
8,Los Angeles Lakers,72,42,30,0.583,48.5,109.5,40.6,86.1,47.2,11.1,31.2,35.4,17.2,23.3,73.9,9.7,34.6,44.2,24.7,15.2,7.8,5.4,4.5,19.1,21.3,2.8,2021,lakers,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/lakers.png
9,Portland Trail Blazers,72,42,30,0.583,48.1,116.1,41.3,91.1,45.3,15.7,40.8,38.5,17.8,21.6,82.3,10.6,33.9,44.5,21.3,11.1,6.9,5.0,4.6,18.9,19.1,1.8,2021,blazers,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/blazers.png
